iter	Passed	Remaining
1598	14496	3635
1599	14507	3626
1600	14517	3618
1601	14526	3608
1602	14535	3599
1603	14544	3590
1604	14554	3582
1605	14562	3572
1606	14573	3564
1607	14583	3555
1608	14593	3546
1609	14604	3537
1610	14613	3528
1611	14623	3519
1612	14634	3511
1613	14645	3502
1614	14654	3493
1615	14664	3484
1616	14673	3475
1617	14686	3467
1618	14699	3459
1619	14708	3450
1620	14717	3441
1621	14727	3432
1622	14734	3422
1623	14744	3413
1624	14753	3404
1625	14762	3395
1626	14770	3386
1627	14778	3376
1628	14787	3367
1629	14797	3358
1630	14805	3349
1631	14814	3340
1632	14822	3331
1633	14833	3322
1634	14843	3313
1635	14851	3304
1636	14860	3295
1637	14868	3285
1638	14878	3277
1639	14888	3268
1640	14898	3259
1641	14908	3250
1642	14918	3241
1643	14926	3232
1644	14935	3223
1645	14943	3213
1646	14954	3205
1647	14963	3196
1648	14972	3186
1649	14981	3177
1650	14992	3169
1651	15000	3159
1652	15010	3151
1653	15018	3141
1654	15026	3132
1655	15034	3123
1656	15042	3113
1657	15048	3104
1658	15054	3094
1659	15061	3084
1660	15069	3075
1661	15078	3066
1662	15090	3058
1663	15101	3049
1664	15111	3040
1665	15121	3031
1666	15129	3022
1667	15139	3013
1668	15149	3004
1669	15158	2995
1670	15168	2986
